GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GastroReserva,com.grupo19.gastroreserva.domain.entities.cliente,FabricaCliente,0,23,0,0,0,5,0,3,0,3
GastroReserva,com.grupo19.gastroreserva.domain.entities.cliente,Cliente,7,81,1,13,2,23,2,16,1,10
GastroReserva,com.grupo19.gastroreserva.infra.controller.cliente,ClienteDTO,0,15,0,0,0,1,0,1,0,1
GastroReserva,com.grupo19.gastroreserva.infra.controller.cliente,ClienteController,0,111,0,0,0,15,0,6,0,6
GastroReserva,com.grupo19.gastroreserva.domain.entities.restaurante,FabricaRestaurante,0,31,0,0,0,5,0,3,0,3
GastroReserva,com.grupo19.gastroreserva.domain.entities.restaurante,Restaurante,10,118,3,3,2,41,3,16,0,16
GastroReserva,com.grupo19.gastroreserva.infra.persistence.reserva,ReservaRepositoryImpl,67,8,2,0,12,2,8,1,7,1
GastroReserva,com.grupo19.gastroreserva.infra.persistence.reserva,ReservaEntity,21,0,0,0,9,0,2,0,2,0
GastroReserva,com.grupo19.gastroreserva.infra.persistence,EnderecoEntity,21,0,0,0,8,0,1,0,1,0
GastroReserva,com.grupo19.gastroreserva.infra.gateways.cliente,RepositorioDeClienteJpa,63,9,0,0,13,4,5,1,5,1
GastroReserva,com.grupo19.gastroreserva.infra.gateways.cliente,ClienteMapper,20,3,0,0,6,1,2,1,2,1
GastroReserva,com.grupo19.gastroreserva.infra.gateways.restaurante,RestauranteMapperImpl,68,3,4,0,20,1,4,1,2,1
GastroReserva,com.grupo19.gastroreserva.infra.gateways.restaurante,RepositorioDeRestauranteJpa,55,9,0,0,13,4,4,1,4,1
GastroReserva,com.grupo19.gastroreserva.application.usecases.restaurante,ListarRestaurantes,0,10,0,0,0,4,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.restaurante,ExcluirRestaurante,0,11,0,0,0,5,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.restaurante,AlterarEnderecoRestaurante,0,11,0,0,0,4,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.restaurante,CadastrarRestaurante,0,11,0,0,0,4,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.infra.persistence.restaurante,RestauranteRepositoryImpl,27,8,0,0,5,2,5,1,5,1
GastroReserva,com.grupo19.gastroreserva.infra.persistence.restaurante,RestauranteEntity,24,0,0,0,10,0,2,0,2,0
GastroReserva,com.grupo19.gastroreserva.domain.entities.avaliacao,AvaliacaoValidator,47,0,14,0,9,0,9,0,2,0
GastroReserva,com.grupo19.gastroreserva.domain.entities.avaliacao,FabricaAvaliacao,21,16,0,0,6,3,2,2,2,2
GastroReserva,com.grupo19.gastroreserva.domain.entities.avaliacao,Avaliacao,15,76,7,7,3,27,7,12,0,12
GastroReserva,com.grupo19.gastroreserva.infra.persistence.cliente,ClienteEntity,22,0,0,0,10,0,4,0,4,0
GastroReserva,com.grupo19.gastroreserva.infra.gateways.reserva,ReservaMapper,31,0,0,0,11,0,3,0,3,0
GastroReserva,com.grupo19.gastroreserva.infra.gateways.reserva,RepositorioDeReservaJpa,30,0,0,0,11,0,5,0,5,0
GastroReserva,com.grupo19.gastroreserva.infra.persistence.avaliacao,AvaliacaoEntity,21,0,0,0,9,0,2,0,2,0
GastroReserva,com.grupo19.gastroreserva.domain.entities.reserva,Reserva,25,70,3,3,9,24,7,10,4,10
GastroReserva,com.grupo19.gastroreserva.domain.entities.reserva,FabricaReserva,0,53,0,0,0,13,0,6,0,6
GastroReserva,com.grupo19.gastroreserva.application.usecases.avaliacao,RealizarAvaliacao,0,11,0,0,0,4,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.avaliacao,ExcluirAvaliacao,0,11,0,0,0,5,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.avaliacao,EditarAvaliacao,0,11,0,0,0,4,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.infra.gateways.avaliacao,AvaliacaoMapperImpl,28,3,0,0,10,1,2,1,2,1
GastroReserva,com.grupo19.gastroreserva.infra.gateways.avaliacao,RepositorioDeAvaliacaoJpa,47,0,0,0,13,0,4,0,4,0
GastroReserva,com.grupo19.gastroreserva,GastroReservaApplication,5,3,0,0,2,1,1,1,1,1
GastroReserva,com.grupo19.gastroreserva.application.usecases.cliente,CadastrarCliente,0,5,0,0,0,2,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.cliente,ListarClientes,0,10,0,0,0,4,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.cliente,ExcluirCliente,4,3,0,0,2,1,1,1,1,1
GastroReserva,com.grupo19.gastroreserva.application.usecases.cliente,AlterarEmailCliente,0,5,0,0,0,2,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.reserva,CancelarReserva,0,11,0,0,0,5,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.reserva,AlterarHorarioReserva,0,11,0,0,0,4,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.reserva,RealizarReserva,0,11,0,0,0,4,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.application.usecases.reserva,AlterarDataReserva,0,11,0,0,0,4,0,2,0,2
GastroReserva,com.grupo19.gastroreserva.adapters,ListarClientesAdapter,4,6,0,0,1,3,1,1,1,1
GastroReserva,com.grupo19.gastroreserva.domain,Endereco,24,69,0,6,12,19,6,11,6,8
GastroReserva,com.grupo19.gastroreserva.domain,HorarioDeFuncionamento,8,18,0,0,4,8,2,4,2,4
